palette name,pictures,rose,red,orange,yellow,lime,green,teal,cyan,azure,blue,purple,magenta
Azure Monolith,663,0,0,72,0,0,0,0,3,619,42,0,0
"Azure, Gold, Oxblood",641,0,91,72,133,0,0,0,1,416,38,0,0
Bauhaus Primary,391,22,282,1,26,0,0,0,0,0,93,3,11
Bauhaus Workshop,408,2,237,117,98,2,0,0,0,0,46,0,0
Black Iris,696,33,5,0,22,287,0,0,0,0,0,0,440
"Black Lacquer, Teal Seal",649,0,0,0,0,0,0,511,40,1,2,3,201
Bleached Bronze,600,0,0,1,594,46,0,0,0,0,0,0,0
Blossom Triad,445,296,0,0,0,0,0,0,0,0,0,165,134
"Blue Held, Amber Struck",211,1,8,75,0,0,0,0,0,134,45,1,2
Blues,353,0,0,0,0,0,0,0,1,347,15,0,0
"Blush Room, Wine Dark",157,95,139,0,0,0,0,0,0,0,12,0,1
Blush Vault,514,511,5,0,0,0,0,0,0,0,0,0,0
Blush and Bracken,475,5,234,14,6,252,0,0,0,0,0,0,0
Boho Cloth,422,0,69,381,15,27,0,0,0,0,0,0,0
Boho Dust,462,0,23,343,43,124,0,0,0,0,0,0,0
Bone & Bruise,578,18,4,1,0,0,0,0,0,0,0,0,563
Bone & Deep Petrol,451,0,0,24,3,0,36,425,20,0,0,0,0
Bone Orchard Rose,774,697,317,4,0,25,5,0,0,0,0,0,0
Bone Vault,177,17,48,0,0,0,0,0,0,13,122,4,0
Bone and Blush,776,705,469,1,0,0,0,0,0,0,0,0,0
Bone and Deep Green,640,0,0,0,0,96,633,26,0,0,0,0,0
Bone and Moss,689,0,0,2,667,240,0,0,0,0,0,0,0
Bone and Verdigris,503,0,0,1,191,36,1,3,310,0,0,0,0
Boulevard Gold,422,0,5,130,174,0,0,0,0,0,193,50,6
BrBG,473,0,0,112,131,31,19,260,0,0,0,0,0
Bracken and Bone,528,0,0,37,67,483,0,0,0,0,0,0,0
Bramble at Dusk,421,238,4,1,1,21,252,0,0,0,0,0,0
Brass Tide,406,0,0,0,129,8,8,63,260,0,0,0,0
Bronze Fern,405,0,0,0,231,37,154,110,0,0,0,0,0
Bruised Velvet,646,0,0,0,0,0,0,0,0,6,329,250,238
BuGn,759,0,0,0,0,0,700,490,0,1,0,0,0
BuPu,685,0,0,0,0,0,0,0,0,28,276,484,257
Burgundy & Coal,629,95,599,0,2,0,0,0,0,0,22,0,0
Buried Fire,544,4,519,170,2,0,0,0,0,0,0,0,0
Burnished Deep,405,1,14,375,0,0,0,0,0,0,41,0,0
Burnt Boulevard,432,0,204,400,45,0,0,0,0,0,0,0,0
Butter Fathom,430,0,0,0,39,15,0,0,3,391,27,0,0
Butter Storm,405,0,0,0,246,9,2,1,1,201,3,0,0
CMRmap,546,6,103,59,162,0,0,0,0,0,128,68,28
Candle & Wine,551,467,54,54,0,0,0,0,0,0,0,0,114
Candle Ramp,310,9,309,3,0,0,0,0,0,0,0,0,1
Cellar & Yew,479,111,139,2,3,11,310,0,0,0,0,0,0
Chalcedony,765,0,0,0,0,0,0,0,0,5,434,487,159
Chart & Compass,451,0,0,0,90,1,0,26,241,115,66,0,0
Chartreuse Eclipse,591,1,0,0,1,338,0,0,0,0,0,341,0
Chartreuse Furnace,550,0,0,0,83,417,258,0,0,0,0,0,0
Chartreuse Nocturne,462,14,0,1,6,363,2,0,0,0,0,0,114
Chartreuse Vault,700,0,0,0,1,540,258,58,0,0,0,0,0
Chrome Violet Hour,402,3,0,0,0,0,0,0,69,3,1,2,354
Cinnabar Cathedral,633,419,1,0,0,0,0,191,167,1,0,0,1
Cirrus & Ember,380,1,1,95,0,0,0,0,0,245,225,3,1
Claret Ember,460,23,448,40,8,0,0,0,0,0,0,0,0
Coal & Coal-Fire,556,3,202,8,0,0,0,0,0,240,293,36,5
Coal & Malachite,636,136,0,0,2,5,521,0,0,0,0,0,107
Coal Amber,443,0,1,161,425,0,0,0,0,0,0,0,0
Coal Rose,318,183,0,0,0,0,0,0,0,2,141,14,16
Coalglow,96,0,9,96,17,0,0,0,0,0,0,0,0
Cobalt & Celadon,572,0,0,0,0,0,168,266,43,207,197,0,0
Cobalt & Coal,668,3,61,270,0,0,0,0,0,200,359,19,3
Cobalt Against Gold,252,0,0,5,109,0,0,0,0,3,152,3,0
Cobalt Detonation,406,9,26,323,2,0,0,0,0,0,68,7,3
Cobalt Furnace Ultra,635,15,270,162,0,0,0,0,0,97,258,23,18
Cobalt Meets Blush,380,87,0,0,0,0,0,0,0,23,216,54,124
Cobalt Meets Rust,543,23,248,5,0,0,0,0,0,171,163,24,28
Cobalt Monody,614,1,59,0,0,0,0,0,0,389,517,2,1
Cobalt Orchid,823,0,0,0,0,0,0,0,0,3,421,265,344
Cobalt Without Daylight,410,0,69,221,0,0,0,0,0,0,180,5,0
"Cobalt, Crimson, Gold",585,29,126,97,255,0,0,0,0,2,122,19,5
Cobalt-Rust Double Flare,663,11,161,249,0,0,0,0,0,96,357,31,9
Cochineal & Cream,483,16,476,2,0,0,0,0,0,0,0,0,0
Cold Fern Ramp,513,0,0,0,0,1,393,315,36,1,0,0,0
Cold Forge,587,5,242,0,0,0,1,1,435,4,0,0,0
Cold Iron Ascent,267,0,0,0,0,0,0,0,1,266,1,0,0
Cold Sweep,277,0,0,0,0,0,0,0,90,272,6,0,0
Coldhearth,618,4,65,78,0,0,0,0,0,398,374,17,7
"Copper Bloom, Teal Fleck",520,0,20,406,17,0,8,137,0,0,0,0,0
Copper Fathom,401,0,10,137,1,0,0,0,0,8,281,23,1
Copper Meets Tide,200,0,18,83,2,3,8,108,11,0,0,0,0
Copper Reef,490,0,0,205,6,13,52,271,0,0,0,0,0
Copper Tide,639,9,289,88,0,0,0,0,3,325,11,3,3
Copper Verdigris,539,0,0,102,96,117,324,0,0,0,0,0,0
Copper Vespers,130,0,10,128,49,0,0,0,0,0,0,0,0
Copper on Slate,497,0,146,349,5,2,0,117,39,0,0,0,0
Copper on Verdigris,621,0,0,188,4,4,203,389,0,0,0,0,0
"Copper, Sage & Petrol",434,0,1,172,47,23,165,130,2,0,0,0,0
Coral Nocturne,428,34,425,0,0,0,0,0,0,0,0,0,0
Coral Signal,479,0,382,0,1,0,0,90,96,0,0,0,0
Coral Tideline,536,0,280,511,1,0,0,0,0,0,0,0,0
Coral in the Trench,506,0,180,126,2,0,0,193,277,0,0,0,0
Counter Chrome,448,188,16,0,3,8,97,218,0,0,0,0,0
Court of Thorns,618,448,7,0,39,9,0,0,0,0,3,136,64
Crimson Ice Duet,871,617,2,0,0,0,0,0,0,248,45,19,65
Cyan & Ember,483,3,198,0,0,0,1,1,354,30,1,1,0
"Cyan Coal, One Coral",243,0,66,0,0,0,0,1,192,0,0,0,0
Cyan Tide,675,0,0,0,0,0,1,3,665,1,0,0,0
Cyan Vault,604,11,0,0,0,0,4,9,526,16,1,0,68
"Cyan, Magenta, Amber",558,0,0,63,0,0,0,0,324,55,11,2,171
Cyanotype Furnace,563,0,22,72,0,0,1,3,503,0,0,0,0
Damson and Ore,402,1,0,1,10,0,0,0,0,0,0,1,385
Deco Lacquer,409,0,0,9,354,16,68,2,0,0,0,0,0
Deco Malachite,404,0,0,0,72,6,341,245,0,0,0,0,0
Deep Azure & Coral,579,0,15,48,19,70,3,0,17,413,5,0,0
Deep Cold Run,365,0,0,0,0,0,0,2,106,331,18,1,0
Deep Current,554,0,0,0,0,0,0,548,300,0,0,0,0
Deep Iris Rise,626,0,0,0,0,0,0,0,0,0,7,383,508
Deep Rose Vault,865,799,8,0,0,0,0,0,0,0,0,0,366
Deep Verdigris Sweep,137,0,0,0,0,0,0,118,134,0,0,0,0
"Deep Wood, One Ember",571,0,0,50,14,27,520,0,0,0,0,0,0
Delft Deep,477,0,0,0,0,0,0,1,1,80,470,0,0
Dove & Apricot,512,0,6,101,0,0,0,0,0,342,353,1,0
Drape & Shadow,415,51,379,0,0,0,0,0,0,0,31,0,0
Ember Against Steel,702,124,495,1,0,0,0,0,0,67,181,1,4
Ember Gate,559,0,9,364,24,0,0,180,107,0,0,0,0
Ember Gilt,453,0,0,27,444,1,0,0,0,0,0,0,0
Ember Gradient,513,0,237,448,33,0,0,0,0,0,0,0,0
Ember Over Tidewater,379,0,7,225,0,0,0,0,191,1,0,0,0
Ember Rising,163,0,99,126,25,0,0,0,0,0,0,0,0
Ember Rose Ramp,789,782,33,0,0,0,0,0,0,0,0,0,2
Ember Standard,750,0,0,0,313,0,0,0,0,0,500,56,0
Ember Terracotta,443,0,434,173,0,0,0,0,0,0,0,0,0
Ember Triad,543,89,8,99,12,18,66,0,0,0,0,0,312
Ember Undertow,534,0,28,450,4,0,0,0,0,33,37,0,1
Ember in Green Ash,499,0,77,5,1,46,419,0,0,0,0,0,0
Ember in Orchid Ash,579,0,0,0,0,0,0,0,0,0,0,0,571
Ember in Smoke,604,0,587,568,1,1,0,0,0,0,0,0,0
Ember to Lime,702,0,16,468,311,160,0,0,0,0,0,0,0
Emerald Furnace,610,0,0,0,0,0,606,0,0,0,0,0,0
Emerald Ingot,580,0,0,2,315,287,259,0,0,0,0,0,0
Ensign,454,93,257,0,0,0,0,0,0,8,145,15,23
Faded Gilt,142,0,5,140,31,0,0,0,0,0,0,0,0
Faded Salon,280,45,236,29,0,0,0,0,0,2,28,0,0
Fanned Coals,123,0,43,112,1,0,0,0,0,0,0,0,0
Fathom Ice,478,0,0,0,0,0,1,1,175,471,22,0,0
Fen Fire,280,0,51,16,154,8,11,85,1,0,0,0,0
Fern Drift,574,0,0,0,2,235,290,138,121,1,0,0,0
Fern Ladder,483,0,0,0,0,110,473,0,0,0,0,0,0
Field at Dusk,378,4,1,3,194,64,0,0,0,0,0,170,13
"Fire, One Cobalt Chip",510,2,408,184,1,0,0,0,0,13,51,1,0
Foam & Olive,364,0,0,0,0,57,286,195,0,0,0,0,0
Foam Over Indigo,557,5,174,0,0,0,1,2,21,78,335,3,4
Forest Bloom,567,0,0,0,0,2,560,11,2,0,0,0,0
Forest Kiln,551,0,0,0,0,0,546,2,0,0,0,0,0
Forest to Foam,114,0,0,0,0,0,90,83,0,0,0,0,0
Forge Ascent,695,0,0,78,680,2,0,0,0,0,0,0,0
Forge Sweep,709,0,392,527,193,3,0,0,0,0,0,0,0
Forge and Frost,495,0,206,337,0,0,1,82,128,0,0,0,0
Forge to White,691,0,493,330,76,3,0,0,0,0,0,0,0
Formica Neon,443,326,29,1,0,0,77,98,0,0,0,0,0
Foxglove & Iron,706,631,44,0,0,0,44,103,0,0,0,0,1
Frost & Cinder,536,1,212,104,0,0,0,0,0,229,249,6,0
Frost Orchid,672,0,0,0,0,0,0,0,0,0,0,458,430
Fuchsia & Acid,624,65,0,0,5,240,0,0,0,0,0,0,408
Fuchsia & Coal,723,143,18,39,67,0,0,0,0,0,0,0,557
Fuchsia Beacon,677,0,0,0,0,0,0,0,1,459,72,20,264
Fuchsia Cliffside,757,0,0,0,0,0,0,130,251,1,4,52,501
Fuchsia Ironworks,647,252,2,3,53,0,1,1,0,76,296,55,34
Furnace Rose,937,564,584,49,0,0,0,0,0,0,0,0,0
Garnet Tide,545,422,14,1,1,1,157,2,0,0,0,0,2
Gilded Moss,402,0,0,0,318,51,89,23,0,0,0,0,0
Gilt Triad,705,0,373,127,249,0,0,0,0,19,55,0,0
Gilt and Rose,853,630,118,86,195,0,0,0,0,0,0,0,0
Glacier Ascent,127,0,0,0,0,0,0,0,0,108,104,0,0
Glacier Drift,701,0,0,0,0,0,0,0,567,421,3,0,0
Glacier Meridian,426,0,0,0,0,0,1,7,416,10,0,0,0
GnBu,587,0,0,0,0,0,118,91,199,336,0,0,0
Gold Cliff Sage,680,0,0,2,515,99,203,0,0,0,0,0,0
"Gold Field, Blood Spark",520,0,6,495,284,2,0,0,0,0,0,0,0
Gold Leaf on Lacquer,454,0,0,14,450,1,0,0,0,0,0,0,0
"Gold Leaf, Deep Water",390,0,0,29,286,0,0,0,0,0,108,0,0
Green Against Oxblood,578,0,176,71,13,71,362,0,0,0,0,0,0
"Green Fire, Black Ash",577,0,304,3,0,44,340,0,0,0,0,0,0
"Green Flag, Blue Water",630,0,0,0,0,0,296,51,27,237,229,0,0
Green Hour,559,0,0,39,337,216,144,0,0,0,0,0,0
Green Triad Dusk,449,0,128,80,52,199,24,10,23,4,0,0,0
Green Vault,631,0,0,0,58,23,599,1,0,0,0,0,0
Green Water Drift,598,0,0,0,0,0,32,245,468,36,1,0,0
"Green Water, Blue Deep",658,0,0,0,0,0,6,155,259,323,246,1,0
Green and Magenta,493,101,0,0,0,3,385,0,0,0,0,0,116
"Green, Cobalt, Amber",549,0,0,12,0,0,253,38,39,236,67,0,0
"Green, Gold, Magenta",520,123,7,0,87,16,148,0,0,0,0,0,222
"Green, Violet, Bone",775,0,0,0,0,4,200,0,0,0,8,601,31
Greens,112,0,0,0,0,0,111,0,0,0,0,0,0
Harbour Sand,441,0,0,0,76,2,0,25,110,121,216,0,0
Harbour Spark,474,0,0,0,0,0,0,0,255,468,7,0,0
Harvest Wallpaper,423,0,153,395,119,1,0,0,0,0,0,0,0
"High Cyan, Low Gold",749,0,0,12,2,0,2,313,617,0,0,0,0
High Gold,666,0,0,24,549,2,0,0,0,0,0,155,2
Hollow Lantern,439,0,386,415,1,0,0,0,0,0,0,0,0
Ice Sage Ramp,595,0,0,0,0,0,0,111,194,481,22,0,0
Ice Shaft,671,0,0,0,0,0,5,660,0,0,0,0,0
Ice Spire,778,0,0,0,0,0,0,2,5,502,732,2,0
Ice Verdant Ramp,754,0,0,0,0,0,2,517,545,75,0,0,0
Ice Walk,486,0,0,0,0,0,0,0,23,480,38,0,0
Ice with an Ember,503,0,48,41,0,0,0,0,5,432,40,0,0
Ice-to-Ember Cliff,686,1,77,125,0,0,0,0,0,435,426,18,2
Indigo & Old Gold,385,0,0,0,103,0,1,1,0,0,289,106,0
Indigo Descent,295,0,0,0,0,0,0,0,0,0,190,293,0
Indigo Kindling,1092,0,0,0,0,0,0,0,0,0,603,734,210
Indigo Marquee,367,2,2,66,159,0,0,0,0,0,184,47,8
Indigo Nocturne,896,0,0,0,0,0,0,0,0,0,485,875,3
Indigo Rungs,472,0,0,0,0,0,0,0,3,447,462,0,0
Indigo Teal Crests,632,0,0,0,0,0,146,360,359,28,0,0,0
Indigo Tideline,297,0,0,0,0,0,0,157,218,90,0,0,0
Indigo Walk to Lime,603,0,0,0,0,15,89,191,94,329,9,0,0
"Indigo, Cyan, Teal, Foam",556,0,0,0,0,0,113,235,74,235,79,0,0
Ink & Fuchsia Flare,876,205,0,0,0,0,0,0,0,3,506,96,283
Inkfall,647,0,0,0,0,0,0,0,0,0,348,397,142
Iris Ascension,929,0,0,0,0,0,0,0,0,0,6,927,2
Ivory Gilt,364,0,0,0,206,18,184,76,0,0,0,0,0
Jade in Amethyst Light,587,0,0,0,0,1,320,31,1,0,1,253,41
Jqmsl,463,0,9,309,317,0,0,0,0,0,0,0,0
Jungle Canopy,411,0,0,0,0,117,402,15,0,0,0,0,0
Jungle Floor,401,0,0,0,0,105,375,83,0,0,0,0,0
Khaki Cathedral,496,35,26,38,243,0,0,0,0,0,0,0,220
Kiln Triad,383,0,171,263,69,56,1,0,0,0,0,0,0
Lacquer & Bone,440,28,436,0,0,0,0,0,0,0,0,0,1
Ladder to Ice,468,0,0,0,0,0,0,0,1,426,462,0,0
Lagoon Neon,388,103,1,0,0,121,59,140,115,0,0,0,0
Lantern Rose,789,773,2,0,0,0,0,0,25,1,0,0,1
Lantern in the Deep,608,4,35,282,0,0,0,0,2,290,123,5,6
Lavender Bleach,369,4,2,21,151,9,0,0,0,0,0,218,1
Lichen and Ink,517,0,0,0,2,322,1,0,0,0,222,0,0
"Lilac Drift, Plum Trough",523,222,147,3,0,0,0,0,0,0,0,1,316
Lilac Vellum,617,0,0,0,0,0,0,0,0,0,0,321,598
Lime Ash Ember,583,0,9,33,18,539,0,0,0,0,0,0,0
Lime and Cobalt,680,0,0,0,0,308,57,3,1,173,382,0,0
Lime on Black Glass,769,0,0,0,0,439,0,0,0,0,1,457,6
"Lime, Cobalt, Oxblood",591,1,90,2,1,340,23,0,0,18,167,1,1
"Lime, Sage & Teal Dusk",533,0,1,0,116,195,150,56,0,0,1,142,4
"Lime, Steel, Rose",575,332,4,4,49,251,1,0,0,0,0,0,5
Long Autumn,578,0,216,550,70,1,0,0,0,0,0,0,0
Madder Lantern,662,476,104,45,156,0,0,0,0,0,0,0,0
Malachite & Rose,557,358,6,4,13,35,221,0,0,0,0,0,1
Malachite and Rose,379,87,1,0,2,182,201,0,0,0,0,0,0
Marsh Lantern,461,11,137,17,0,0,1,160,183,0,0,1,102
Mauve Hollow,539,197,0,0,0,0,0,0,0,0,0,0,525
Memphis Blackboard,443,87,0,3,213,6,6,9,177,2,0,0,1
Memphis Chalkline,363,157,6,32,192,1,0,0,37,0,0,0,0
Mesa Noon,451,0,208,112,1,0,1,235,0,0,0,0,0
Mesa Shadow,388,0,166,52,3,0,4,214,1,0,0,0,0
Midnight Regalia,420,0,0,0,75,0,0,0,0,189,374,0,0
Mineral Verdigris & Copper,549,0,0,111,5,2,8,401,239,0,0,0,0
Mint & Wine Air,539,217,7,0,0,0,309,190,1,0,0,0,18
"Mint Field, Teal Well",662,0,0,0,0,0,341,632,0,0,0,0,0
"Mist Field, Ink Well",472,0,0,0,0,2,300,434,0,0,0,0,0
Moss & Rust,573,0,1,153,10,96,404,0,0,0,0,0,0
Moss Under Snow,111,4,1,0,0,3,93,0,0,0,0,0,22
Moss and Ore,390,0,0,0,131,16,304,81,0,0,0,0,0
"Moss, Clay & Gold",671,0,2,265,300,323,5,0,0,0,0,0,0
Mustard Field,431,0,5,190,378,67,0,0,0,0,0,0,0
Muted Triune,529,13,1,0,55,12,3,153,93,14,5,10,175
MyFractal01,396,0,33,359,38,1,0,0,0,0,0,0,0
MyFractal03,547,0,0,0,0,0,0,1,45,485,269,0,0
MyFractal04,461,0,313,292,13,0,0,0,0,0,0,0,0
Navy to Foam,750,0,0,0,0,0,266,596,284,19,0,0,0
Nebula Flare,397,0,0,0,0,0,0,0,0,0,17,359,178
Nebula Veil,513,0,0,0,0,0,0,0,0,0,5,511,27
Neon Bramble,411,243,30,2,1,3,222,0,0,0,0,0,0
Neon Causeway,420,177,119,58,0,0,0,0,0,0,0,147,70
Neon Grid,385,0,0,0,0,0,0,0,185,26,13,6,222
Neon Pop Flash,419,102,2,5,174,0,0,0,0,86,82,21,16
Nightbloom Signal,410,0,0,0,0,0,0,0,0,0,184,45,240
Nightfall Azure,644,0,0,0,0,0,0,1,146,600,152,0,0
Nightfall Spectrum,685,1,0,0,0,0,0,0,0,0,271,503,271
Nineties Arcade,419,12,244,103,0,0,1,40,17,0,0,105,3
Nineties Dusk,347,0,26,57,0,0,0,126,130,10,7,87,0
Ochre Against Steel,512,0,1,80,15,1,2,5,277,269,1,0,0
Ochre Loam,436,0,6,194,300,128,0,0,0,0,0,0,0
Olive Ash,550,0,74,25,410,386,0,0,0,0,0,0,0
Olive Cellar,417,0,0,82,300,249,0,0,0,0,0,0,0
Olive Ember Ramp,531,0,3,350,256,95,0,0,0,0,0,0,0
"Olive Field, Violet Spark",618,0,0,0,1,568,3,0,0,0,0,97,0
Olive Turn,407,0,43,255,207,36,0,0,0,0,0,0,0
"Olive, Ash-Blue & Rose",480,111,1,0,2,98,4,2,0,123,121,13,71
"Olive, Blood, Cobalt",698,2,252,65,74,208,0,0,0,55,129,2,1
"Olive, Green, Ochre",596,0,0,0,160,372,339,0,0,0,0,0,0
"Olive, Lime, Foam",559,0,0,0,8,355,348,32,0,0,0,0,0
One Coal Alight,523,11,503,76,0,0,0,0,0,1,0,0,0
Opal & Ink,775,0,0,0,0,0,0,0,0,257,462,412,0
Opal Drift,690,0,0,0,0,0,0,0,7,385,465,165,0
"Opal Field, Sapphire Spark",406,0,15,357,14,0,0,0,0,25,34,0,0
OrRd,639,0,578,287,5,0,0,0,0,0,0,0,0
Oranges,637,0,384,560,4,1,0,0,0,0,0,0,0
Orchid & Goldshadow,660,305,36,233,31,0,0,0,0,0,0,0,292
Orchid Deep,574,0,0,0,0,0,0,27,46,0,0,9,496
Orchid Furnace,693,17,0,0,0,0,0,0,0,0,0,0,689
Orchid Procession,718,0,0,0,0,0,0,0,0,0,266,627,260
Orchid Triad,897,595,33,9,73,0,0,0,0,0,109,47,413
Orchid Triad Ember,667,36,1,11,64,0,0,0,0,2,400,87,132
Oxblood & Petrol Seam,617,4,455,1,1,0,0,117,157,0,0,0,0
Oxblood Procession,485,482,7,0,0,0,0,0,0,0,0,0,1
Oxblood Standard,459,0,372,116,92,0,0,0,0,0,0,0,0
Oxblood Thicket,448,0,116,0,0,11,373,0,0,0,0,0,0
"Oxblood, Amber, Teal",643,1,228,555,7,2,0,39,32,0,0,0,0
"Oxblood, Cyan, Cream",345,0,106,2,0,0,0,1,268,0,0,0,0
"Oxblood, Ochre, Petrol",625,0,340,177,142,4,3,111,2,0,0,0,0
"Oxblood, One Cold Spark",742,105,674,0,0,0,0,0,0,0,52,3,0
Oxide & Copper Edge,615,0,0,176,16,20,65,387,0,0,0,0,0
Oxide and Ember,467,0,28,349,86,98,0,0,0,0,0,0,0
PRGn,643,0,0,0,0,1,361,1,0,0,0,35,334
Pale Aurora,186,0,0,85,4,0,1,97,40,0,0,0,0
Pale Ember Over Teal,512,0,0,251,21,17,22,248,0,0,0,0,0
Pale Fire Rose,917,701,4,0,0,0,0,0,0,82,218,12,56
Pale Harbor,704,0,0,64,1,0,0,0,106,645,70,1,0
Pale Moss Field,524,0,0,0,1,317,320,120,0,0,0,0,0
"Pale Orchid, Deep Well",661,0,0,0,0,194,0,0,0,0,3,530,0
Pale Reed Hollow,482,0,0,0,1,356,329,0,0,0,0,0,0
"Pale Reef, Three Lights",567,1,47,72,22,0,1,7,140,381,2,0,1
Pale Reliquary,429,1,2,23,313,0,0,0,0,0,161,13,0
Pale Triad,560,27,3,9,130,9,0,279,225,1,0,0,75
"Pale Verdigris, Copper Heart",463,0,0,1,1,0,2,458,0,0,0,0,0
Patina Brass,348,0,0,0,263,21,1,26,81,0,0,0,0
Peacock Nocturne,409,0,0,11,208,5,2,17,192,0,0,10,1
Peacock Regalia,411,0,0,4,187,4,1,9,164,0,0,42,20
Peat & Rose Smoke,552,249,183,281,24,1,0,0,0,0,0,0,0
Periwinkle Room,664,0,0,0,0,0,0,0,0,161,661,163,0
Petal Drift,720,576,4,0,0,0,0,0,0,0,0,18,307
Petal Dusk,451,435,9,0,0,0,0,0,0,0,0,0,63
Petrol & Amber,452,0,0,59,117,3,21,304,157,0,0,0,0
Petrol & Coal,603,0,348,0,0,0,0,26,294,0,0,0,0
Petrol & Coral,537,0,279,180,2,2,4,206,124,0,0,0,0
Petrol & Flame,250,0,4,104,13,6,4,115,67,0,0,0,0
Petrol Bloom,497,0,1,26,0,0,1,277,457,0,0,0,0
Petrol Boundary,532,0,0,47,327,18,5,174,144,0,0,0,0
Petrol Dawn,255,0,2,143,4,2,9,102,34,0,0,0,0
Petrol Depths,149,0,0,0,0,0,0,96,145,0,0,0,0
"Petrol Depths, Ember Spark",167,0,2,38,0,0,0,112,128,0,0,0,0
Petrol Monolith,629,0,0,0,0,0,1,552,7,0,0,0,90
Petrol Noon,644,0,0,1,457,12,1,180,109,0,0,0,0
Petrol to Powder,519,0,0,0,0,0,0,4,427,256,2,0,0
"Petrol, One Coral",276,0,5,34,0,0,5,240,9,0,0,0,0
Pewter Bloom,453,0,0,0,0,0,0,0,0,427,446,0,0
Phosphor Deep,390,0,0,0,0,0,388,0,0,0,0,0,0
PiYG,647,359,21,12,9,286,70,0,0,0,0,0,6
Pine and Frost,581,0,0,0,0,1,450,394,2,0,0,0,0
Plum Anvil,277,121,0,0,0,0,0,0,0,122,74,6,13
Plum Cut with Gold,631,167,11,10,106,0,0,0,0,0,0,0,460
Plum Gilding,306,4,17,20,226,0,0,0,0,0,0,0,63
Plum Reliquary,700,81,14,3,186,0,0,0,0,0,0,0,520
Plum Walk,616,534,369,1,0,0,0,0,0,0,0,32,53
Plum in Ash,600,0,0,0,0,75,0,0,0,0,2,393,532
"Plum, Cobalt, Acid",642,0,0,0,0,127,2,0,0,1,254,429,45
"Plum, Gold & Moss",650,138,32,54,213,182,0,0,0,0,0,0,217
Porcelain Azure,783,0,11,0,0,0,0,0,3,769,41,0,0
Porcelain Field,537,0,0,0,0,0,0,0,0,136,534,0,0
Prism Veil,640,0,1,92,2,1,108,5,0,1,7,422,28
Prism on Ice,539,0,0,0,61,1,1,77,100,21,74,288,0
PuBu,420,0,0,0,0,0,0,0,0,395,109,3,0
PuBuGn,656,0,0,0,0,0,0,76,258,508,73,2,1
PuOr,564,15,67,295,1,0,0,0,0,0,0,260,14
PuRd,726,659,4,2,0,0,0,0,0,0,0,0,308
Pumpkin Cellar,436,0,397,407,0,0,0,0,0,0,0,0,0
Purples,814,0,0,0,0,0,0,0,0,0,157,809,0
RdBu,792,52,483,3,0,0,0,0,0,344,10,2,10
RdGy,691,8,684,16,1,0,0,0,0,0,0,0,0
RdPu,1015,947,46,0,1,0,0,0,0,0,0,1,448
RdYlBu,575,4,326,90,12,0,0,0,2,191,49,0,0
RdYlGn,628,0,232,71,79,239,208,0,0,0,0,0,0
Reds,643,0,641,5,0,0,0,0,0,0,0,0,0
Reed Walk,685,0,0,0,211,567,156,25,0,0,0,0,0
Reef Triad,485,0,52,228,11,2,1,237,5,0,0,0,0
Reef Without Sun,364,0,127,1,0,0,1,223,202,0,0,0,0
Reef at Midnight,345,84,0,0,0,179,34,57,47,0,0,0,0
Regalia & Sulphur,369,1,1,26,244,0,0,0,0,0,0,145,4
